x,y,ztop,zbot
74752.9,72887.1,272.913,-261.087
88385.7,63061,197.226,-532.774
133270,114025,179.707,-357.293
51296.7,65071,262.111,-659.889
67974,38900.5,227.504,-872.496
88432.7,63133.4,196.401,-392.599
17825.2,33276.8,193.485,-2056.51
58619.2,49866.4,392.994,-858.006
92474.6,27687.3,289.076,-788.924
76187.9,90977,222.345,-105.655
62124.2,75728,399.786,-305.214
88413.6,63284.6,192.653,-557.347
77714.4,34285.6,213.349,-686.651
81292.7,44048.1,201.992,-336.008
83798.7,39291.3,218.343,-280.657
95380.5,31679.6,355.6,-501.4
36709.4,67740,324.876,-169.124
77290,34439.2,220.587,-659.413
